food_name,diet_type,culture,meal_type,calories,protein,carbs,fat,medical_suitability,cost_per_100g,carbon_score,recommended_for,avoid_for,category,recipe
Paneer Butter Masala,Vegetarian,Western,Lunch,373,19,22,28,hypertension,60,1.7,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tandoori Chicken Special,Non-Vegetarian,Mediterranean,Dinner,419,46,7,22,"pcos,hypertension",74,3.7,"Anti-inflammatory, Low Sodium","High Sugar, Processed Foods, High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Palak Paneer Deluxe,Vegetarian,Western,Lunch,322,21,23,25,"thyroid,general",67,2.2,"Balanced Iodine, General Health","Excessive Processing, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Palak Paneer Special,Vegetarian,Indian,Breakfast,417,20,19,20,ibs,50,2.3,Low FODMAP,High FODMAP,Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Meat Samosa Mild,Non-Vegetarian,Western,Snack,217,13,29,10,"hypertension,pcos",47,3.9,"Low Sodium, Anti-inflammatory","High Sugar, Processed Foods, High Sodium, Processed",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Roll Special,Non-Vegetarian,Asian,Breakfast,332,16,34,12,hypertension,38,3.9,Low Sodium,"High Sodium, Processed",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Curry with Gravy,Vegan,Indian,Lunch,306,19,23,16,thyroid,45,1.3,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Pav Bhaji Mild,Vegetarian,Mediterranean,Lunch,352,12,66,13,"obesity,diabetes",40,2.9,"Low GI, High Fiber, Weight Management","High Calorie, Processed, High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Keema Matar Mild,Non-Vegetarian,Indian,Dinner,472,24,20,25,"diabetes,hypertension",46,3.7,"Low Sodium, Low GI, High Fiber","High Sugar, Refined Carbs, High Sodium, Processed",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Butter Chicken,Non-Vegetarian,Mediterranean,Lunch,543,30,17,26,"ibs,general",69,3.2,"Low FODMAP, General Health","Excessive Processing, High FODMAP",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chana Masala,Vegetarian,Mediterranean,Dinner,382,16,48,7,"ibs,pcos",39,2.4,"Anti-inflammatory, Low FODMAP","High Sugar, Processed Foods, High FODMAP",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Upma Dry,Vegetarian,Western,Breakfast,304,10,44,6,"pcos,general",37,2.6,"Anti-inflammatory, General Health","Excessive Processing, High Sugar, Processed Foods",Breakfast,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Kadai Vegetable Dry,Vegetarian,Indian,Lunch,298,12,34,18,obesity,32,2.5,Weight Management,"High Calorie, Processed",Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Biryani with Gravy,Non-Vegetarian,Western,Lunch,491,30,59,14,"obesity,pcos",66,3,"Anti-inflammatory, Weight Management","High Calorie, Processed, High Sugar, Processed Foods",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Dhokla Spicy,Vegetarian,Mediterranean,Dinner,197,7,36,3,"thyroid,obesity",32,2.4,"Balanced Iodine, Weight Management","High Calorie, Processed, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Oatmeal Spicy,Vegan,Western,Dinner,297,10,66,5,diabetes,42,1.1,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Lentil Soup with Gravy,Vegan,Indian,Dinner,268,17,53,6,thyroid,47,1.9,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Dhokla Mild,Vegetarian,Mediterranean,Dinner,223,6,29,4,"obesity,general",38,2.6,"General Health, Weight Management","High Calorie, Processed, Excessive Processing",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Dal Makhani,Vegetarian,Asian,Lunch,369,21,33,17,general,32,2.6,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vada Pav,Vegetarian,Indian,Lunch,255,7,34,11,heart,44,2.6,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Omelette,Non-Vegetarian,Indian,Breakfast,264,21,6,17,hypertension,35,4.3,Low Sodium,"High Sodium, Processed",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Quinoa Bowl Deluxe,Vegan,Mediterranean,Lunch,369,13,64,7,thyroid,43,1.4,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Roll,Non-Vegetarian,Asian,Lunch,224,18,28,13,general,42,4.6,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Wings,Non-Vegetarian,Mediterranean,Snack,375,23,9,24,obesity,75,4.2,Weight Management,"High Calorie, Processed",Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Kadai Vegetable Spicy,Vegetarian,Mediterranean,Lunch,330,13,34,19,"obesity,ibs",39,1.6,"Low FODMAP, Weight Management","High Calorie, Processed, High FODMAP",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Fingers with Gravy,Non-Vegetarian,Indian,Lunch,251,14,21,12,pcos,90,4.4,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Spring Roll Mild,Vegetarian,Mediterranean,Snack,185,5,37,5,hypertension,43,1.9,Low Sodium,"High Sodium, Processed",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Spring Roll Mild,Vegetarian,Mediterranean,Snack,171,6,26,5,hypertension,33,2.3,Low Sodium,"High Sodium, Processed",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Tikka Deluxe,Non-Vegetarian,Mediterranean,Lunch,305,26,10,17,pcos,85,3.3,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Baingan Bharta Mild,Vegetarian,Asian,Lunch,360,7,29,15,pcos,37,1.8,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetable Cutlet,Vegetarian,Mediterranean,Breakfast,201,6,27,6,"obesity,hypertension",32,2.5,"Low Sodium, Weight Management","High Calorie, Processed, High Sodium, Processed",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Aloo Tikki,Vegetarian,Western,Dinner,245,3,28,8,obesity,32,2.5,Weight Management,"High Calorie, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Onion Pakora Special,Vegetarian,Asian,Snack,285,5,31,12,general,32,2.5,General Health,Excessive Processing,Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Cookies Dry,Vegan,Asian,Snack,198,4,26,5,obesity,32,1.2,Weight Management,"High Calorie, Processed",Snack,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Spring Roll Special,Non-Vegetarian,Mediterranean,Lunch,256,14,34,9,obesity,88,4.9,Weight Management,"High Calorie, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Trail Mix Mild,Vegan,Mediterranean,Snack,245,7,33,17,heart,45,1.7,Heart Healthy,"High Saturated Fat, Sodium",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Butter Chicken with Gravy,Non-Vegetarian,Indian,Breakfast,477,37,18,34,ibs,99,4.1,Low FODMAP,High FODMAP,Breakfast,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Pav Bhaji with Gravy,Vegetarian,Western,Breakfast,348,13,53,12,general,33,2.5,General Health,Excessive Processing,Breakfast,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Buddha Bowl,Vegan,Mediterranean,Lunch,400,13,48,12,"ibs,general",44,1.4,"Low FODMAP, General Health","Excessive Processing, High FODMAP",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Thai Curry Mild,Vegan,Western,Dinner,437,14,45,15,heart,39,1.5,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Curry Deluxe,Vegan,Western,Dinner,310,20,33,20,general,35,1.5,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Curry Deluxe,Non-Vegetarian,Asian,Dinner,397,20,18,21,"general,pcos",33,4.5,"Anti-inflammatory, General Health","Excessive Processing, High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetable Biryani with Gravy,Vegetarian,Asian,Lunch,463,15,83,9,diabetes,39,3,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Tikka Masala Deluxe,Non-Vegetarian,Asian,Dinner,483,34,20,22,heart,65,3.1,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Dal Makhani Spicy,Vegetarian,Indian,Lunch,393,18,33,16,hypertension,42,2.6,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Upma,Vegetarian,Mediterranean,Dinner,358,10,59,6,heart,35,2.5,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Roll with Gravy,Non-Vegetarian,Mediterranean,Lunch,241,14,37,10,"heart,diabetes",46,3.1,"Low GI, High Fiber, Heart Healthy","High Saturated Fat, Sodium, High Sugar, Refined Carbs",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Aloo Tikki Mild,Vegetarian,Western,Breakfast,195,4,39,8,obesity,43,2.4,Weight Management,"High Calorie, Processed",Breakfast,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetable Sandwich Special,Vegetarian,Mediterranean,Lunch,263,13,41,7,thyroid,41,2.3,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Biryani,Non-Vegetarian,Western,Dinner,506,30,63,11,thyroid,74,4.5,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bhindi Masala Mild,Vegetarian,Mediterranean,Dinner,286,4,21,13,thyroid,33,2.8,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Upma,Vegetarian,Western,Dinner,256,11,52,8,"ibs,diabetes",37,2.1,"Low GI, High Fiber, Low FODMAP","High Sugar, Refined Carbs, High FODMAP",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Sausages with Gravy,Non-Vegetarian,Indian,Breakfast,333,26,7,26,"diabetes,ibs",89,3.1,"Low GI, High Fiber, Low FODMAP","High Sugar, Refined Carbs, High FODMAP",Breakfast,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Spring Roll with Gravy,Non-Vegetarian,Mediterranean,Snack,277,11,35,11,"diabetes,hypertension",81,3.4,"Low Sodium, Low GI, High Fiber","High Sugar, Refined Carbs, High Sodium, Processed",Snack,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bhel Puri Special,Vegetarian,Indian,Snack,158,3,32,2,thyroid,40,1.9,Balanced Iodine,Goitrogenic Foods,Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Rajma Mild,Vegetarian,Western,Snack,298,17,47,8,"diabetes,heart",33,1.7,"Low GI, High Fiber, Heart Healthy","High Saturated Fat, Sodium, High Sugar, Refined Carbs",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tandoori Chicken Special,Non-Vegetarian,Western,Dinner,304,45,6,18,pcos,93,4.9,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Curry Spicy,Non-Vegetarian,Mediterranean,Lunch,300,17,17,18,thyroid,37,4.6,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
